site_id,site_name,site_type,agency,state,latitude,longitude,first_date_data_available,last_date_data_available,record_count,site_query_url,date_metadata_last_updated,tz_cd,doi,huc8,conus1_i,conus1_j,conus2_i,conus2_j,usda_elevation
671:OR:SNTL,Ochoco Meadows,SNOTEL station,NRCS,OR,44.42917,-120.3311,1980-11-27,2026-01-24,16495,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17070305,,,444.0,2404.0,5430.0
672:WA:SNTL,Olallie Meadows,SNOTEL station,NRCS,WA,47.37406,-121.44213,1982-10-01,2026-01-24,15822,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17110010,,,457.0,2730.0,4030.0
673:WY:SNTL,Old Battle,SNOTEL station,NRCS,WY,41.15426,-106.96926,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10180002,970.0,898.0,1401.0,1843.0,9860.0
1272:NV:SNTL,ONeil Creek,SNOTEL station,NRCS,NV,41.8642,-115.08316,2018-06-08,2026-01-24,2788,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17040213,318.0,1086.0,771.0,2032.0,6520.0
1008:MT:SNTL,Onion Park,SNOTEL station,NRCS,MT,46.91348,-110.8536,2001-09-13,2026-01-24,8900,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10030103,753.0,1574.0,1196.0,2499.0,7410.0
675:CO:SNTL,Overland Res.,SNOTEL station,NRCS,CO,39.09035,-107.63583,1989-10-01,2026-01-24,13265,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14020004,886.0,678.0,1318.0,1629.0,9893.0
676:WY:SNTL,Owl Creek,SNOTEL station,NRCS,WY,43.65868,-109.00988,1980-10-01,2026-01-24,16546,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10080007,841.0,1194.0,1278.0,2132.0,8975.0
677:ID:SNTL,Oxford Spring,SNOTEL station,NRCS,ID,42.26015,-112.12515,1980-10-01,2026-01-24,16549,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16010204,566.0,1082.0,1011.0,2025.0,6740.0
784:CA:SNTL,Palisades Tahoe,SNOTEL station,NRCS,CA,39.18986,-120.26576,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16050102,,,287.0,1862.0,8013.0
1170:NM:SNTL,Palo,SNOTEL station,NRCS,NM,36.40869,-105.33038,2010-08-17,2026-01-24,5640,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,13020101,1053.0,361.0,1480.0,1318.0,9343.0
1148:UT:SNTL,Panguitch Lake RS,SNOTEL station,NRCS,UT,37.70463,-112.65037,2014-10-01,2026-01-24,4134,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16030001,432.0,595.0,874.0,1551.0,8350.0
679:WA:SNTL,Paradise,SNOTEL station,NRCS,WA,46.78265,-121.74765,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17110015,,,417.0,2677.0,5130.0
680:CO:SNTL,Park Cone,SNOTEL station,NRCS,CO,38.81982,-106.58962,1980-08-04,2026-01-24,16610,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14020001,972.0,638.0,1402.0,1589.0,9621.0
681:WA:SNTL,Park Creek Ridge,SNOTEL station,NRCS,WA,48.44488,-120.91551,1978-10-01,2025-03-22,16975,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17020009,,,528.0,2829.0,4600.0
